  1970.00000000 	 203302.00000000
  1970.30000000 	 204011.79430203
  1970.60000000 	 204721.38638673
  1970.90000000 	 205430.73460461
  1971.20000000 	 206139.79211235
  1971.50000000 	 206848.50740110
  1971.80000000 	 207556.82484173
  1972.10000000 	 208264.68524571
  1972.40000000 	 208972.02643978
  1972.70000000 	 209678.78385314
  1973.00000000 	 210384.89111537
  1973.30000000 	 211090.28066370
  1973.60000000 	 211794.88435797
  1973.90000000 	 212498.63410180
  1974.20000000 	 213201.46246835
  1974.50000000 	 213903.30332919
  1974.80000000 	 214604.09248467
  1975.10000000 	 215303.76829425
  1975.40000000 	 216002.27230530
  1975.70000000 	 216699.54987864
  1976.00000000 	 217395.55080960
  1976.30000000 	 218090.22994260
  1976.60000000 	 218783.54777811
  1976.90000000 	 219475.47107023
  1977.20000000 	 220165.97341332
  1977.50000000 	 220855.03581619
  1977.80000000 	 221542.64726240
  1978.10000000 	 222228.80525484
  1978.40000000 	 222913.51634332
  1978.70000000 	 223596.79663346
  1979.00000000 	 224278.67227538
  1979.30000000 	 224959.17993065
  1979.60000000 	 225638.36721584
  1979.90000000 	 226316.29312134
  1980.20000000 	 226993.02840363
  1980.50000000 	 227668.65594966
  1980.80000000 	 228343.27111168
  1981.10000000 	 229016.98201099
  1981.40000000 	 229689.90980908
  1981.70000000 	 230362.18894456
  1982.00000000 	 231033.96733440
  1982.30000000 	 231705.40653785
  1982.60000000 	 232376.68188154
  1982.90000000 	 233047.98254418
  1983.20000000 	 233719.51159933
  1983.50000000 	 234391.48601468
  1983.80000000 	 235064.13660628
  1984.10000000 	 235737.70794613
  1984.40000000 	 236412.45822174
  1984.70000000 	 237088.65904581
  1985.00000000 	 237766.59521484
  1985.30000000 	 238446.56441480
  1985.60000000 	 239128.87687249
  1985.90000000 	 239813.85495100
  1986.20000000 	 240501.83268770
  1986.50000000 	 241193.15527317
  1986.80000000 	 241888.17846967
  1987.10000000 	 242587.26796734
  1987.40000000 	 243290.79867687
  1987.70000000 	 243999.15395685
  1988.00000000 	 244712.72477440
  1988.30000000 	 245431.90879744
  1988.60000000 	 246157.10941708
  1988.90000000 	 246888.73469859
  1989.20000000 	 247627.19625939
  1989.50000000 	 248372.90807247
  1989.80000000 	 249126.28519377
  1990.10000000 	 249887.74241186
  1990.40000000 	 250657.69281846
  1990.70000000 	 251436.54629824
  1991.00000000 	 252224.70793626
  1991.30000000 	 253022.57634157
  1991.60000000 	 253830.54188549
  1991.90000000 	 254648.98485279
  1992.20000000 	 255478.27350452
  1992.50000000 	 256318.76205063
  1992.80000000 	 257170.78853111
  1993.10000000 	 258034.67260386
  1993.40000000 	 258910.71323794
  1993.70000000 	 259799.18631043
  1994.00000000 	 260700.34210560
  1994.30000000 	 261614.40271463
  1994.60000000 	 262541.55933440
  1994.90000000 	 263481.96946384
  1995.20000000 	 264435.75399625
  1995.50000000 	 265402.99420597
  1995.80000000 	 266383.72862803
  1996.10000000 	 267377.94982899
  1996.40000000 	 268385.60106763
  1996.70000000 	 269406.57284385
  1997.00000000 	 270440.69933412
  1997.30000000 	 271487.75471218
  1997.60000000 	 272547.44935319
  1997.90000000 	 273619.42591993
  1998.20000000 	 274703.25532942
  1998.50000000 	 275798.43259843
  1998.80000000 	 276904.37256640
  1999.10000000 	 278020.40549405
  1999.40000000 	 279145.77253630
  1999.70000000 	 280279.62108788
